,school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale
179,SUITLAND HIGH,Maryland,9th Grade,12th Grade,1921,1205,193,38.853948,-76.91761600000002,1-Yes,2-No,2-No,21-Suburb: Large
180,SURRATTSVILLE HIGH,Maryland,9th Grade,12th Grade,702,350,76,38.762179,-76.901168,2-No,2-No,2-No,21-Suburb: Large
181,THE REACH! PARTNERSHIP SCHOOL,Maryland,9th Grade,12th Grade,545,545,"=""0""",39.31769,-76.585251,2-No,2-No,2-No,11-City: Large
182,THOMAS S. WOOTTON HIGH,Maryland,9th Grade,12th Grade,2107,109,25,39.076714,-77.183144,2-No,2-No,2-No,13-City: Small
183,THOMAS STONE HIGH SCHOOL,Maryland,9th Grade,12th Grade,1181,542,92,38.614593,-76.886485,2-No,2-No,2-No,22-Suburb: Mid-size
184,TOWSON HIGH LAW & PUBLIC POLICY,Maryland,9th Grade,12th Grade,1629,274,62,39.390557,-76.600802,1-Yes,2-No,2-No,13-City: Small
185,TUSCARORA HIGH,Maryland,9th Grade,12th Grade,1580,407,73,39.377965,-77.44579,2-No,2-No,2-No,22-Suburb: Mid-size
186,URBANA HIGH,Maryland,9th Grade,12th Grade,1790,106,29,39.326755,-77.33953100000002,2-No,2-No,2-No,41-Rural: Fringe
187,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,Maryland,9th Grade,12th Grade,371,371,"=""0""",39.290266,-76.639953,2-No,2-No,2-No,11-City: Large
188,WALKERSVILLE HIGH,Maryland,9th Grade,12th Grade,1152,222,24,39.475391,-77.36133199999998,2-No,2-No,2-No,41-Rural: Fringe
189,WALT WHITMAN HIGH,Maryland,9th Grade,12th Grade,2098,40,5,38.98164600000001,-77.12775500000002,2-No,2-No,2-No,13-City: Small
190,WALTER JOHNSON HIGH,Maryland,9th Grade,12th Grade,2587,193,44,39.025939,-77.130142,2-No,2-No,2-No,21-Suburb: Large
191,WATKINS MILL HIGH,Maryland,9th Grade,12th Grade,1615,804,140,39.183903,-77.216352,2-No,2-No,2-No,21-Suburb: Large
192,WESTERN HIGH,Maryland,9th Grade,12th Grade,1086,1086,"=""0""",39.347203,-76.642638,2-No,2-No,2-No,11-City: Large
193,WESTERN SCHOOL OF TECHNOLOGY & ENV. SCIENCE,Maryland,9th Grade,12th Grade,909,311,83,39.269703,-76.713125,1-Yes,2-No,2-No,21-Suburb: Large
194,WESTLAKE HIGH SCHOOL,Maryland,9th Grade,12th Grade,1198,401,94,38.621892,-76.96683,2-No,2-No,2-No,22-Suburb: Mid-size
195,WESTMINSTER HIGH,Maryland,9th Grade,12th Grade,1540,169,29,39.541382,-76.992302,2-No,2-No,2-No,23-Suburb: Small
196,WHEATON HIGH,Maryland,9th Grade,12th Grade,2077,963,246,39.060896,-77.066457,2-No,2-No,2-No,21-Suburb: Large
197,WICOMICO COUNTY EVENING HIGH,Maryland,9th Grade,12th Grade,77,3,–,38.365066,-75.57945500000002,2-No,2-No,2-No,23-Suburb: Small
198,WICOMICO HIGH,Maryland,9th Grade,12th Grade,1039,621,77,38.365062,-75.579421,2-No,2-No,2-No,23-Suburb: Small
199,WILDE LAKE HIGH,Maryland,9th Grade,12th Grade,1291,427,61,39.217236,-76.872855,2-No,2-No,2-No,13-City: Small
200,WILLIAMSPORT HIGH,Maryland,9th Grade,12th Grade,898,352,42,39.596554,-77.810195,2-No,2-No,2-No,22-Suburb: Mid-size
201,WINSTON CHURCHILL HIGH,Maryland,9th Grade,12th Grade,2227,79,17,39.044068,-77.17303299999998,2-No,2-No,2-No,21-Suburb: Large
202,WINTERS MILL HIGH,Maryland,9th Grade,12th Grade,1126,239,41,39.57129000000001,-76.976617,2-No,2-No,2-No,41-Rural: Fringe
203,WOODLAWN HIGH CENTER FOR PRE-ENG. RES.,Maryland,9th Grade,12th Grade,1575,997,159,39.315184,-76.734817,1-Yes,2-No,2-No,21-Suburb: Large
